title,brandId,brandName,image,inStock,isAD,itemId,location,mainSellerId,nid,price,priceShow,productUrl,promotionId,restrictedAge,review,sellerId,sellerName,sku,skuId,tItemType
Women's Mock neck Half Sleeve Knitted Sweater Jumper For Ladies From Levin,45244,Levin,https://static-01.daraz.com.bd/p/4ed91c14d776093a774c1e67232d954d.jpg,True,0,287411731,Bangladesh,,287411731,329,৳ 329,//www.daraz.com.bd/products/-i287411731-s1287003714.html?search=1,null,0,8,700508265735,Levin Mall,287411731_BD,1287003714,nt_product
Womens V Neck Long Sleeve Metallic Shimmer Knitted Tops Jumper Sweater For Ladies From Levin,45244,Levin,https://static-01.daraz.com.bd/p/926f280662cbe94b121c81c1ea2663d4.jpg,True,0,286614554,Bangladesh,,286614554,435,৳ 435,//www.daraz.com.bd/products/-i286614554-s1284861831.html?search=1,null,0,10,700508265735,Levin Mall,286614554_BD,1284861831,nt_product
Hoodies Women Sweatshirt Dress Solid Autumn Winter Warm Loose Oversized Hoodie Female Pullover Long Length - Hudi For Men,157881,Legacy Boutiques,https://static-01.daraz.com.bd/p/da4cb86f42c1f1993b30496e3515db48.jpg,True,0,156560084,Bangladesh,,156560084,699.00,৳ 699,//www.daraz.com.bd/products/-i156560084-s1086170109.html?search=1,null,0,17,4410,Legacy Boutiques,156560084_BD,1086170109,nt_product
Womens Knitted Long Sleeve Striped Crew Neck Sweater Pullover Tops Jumpers For  Ladies From Levin,45244,Levin,https://static-01.daraz.com.bd/p/5a420f0f1f1617ba8e15d82cd346d6cb.jpg,True,0,285417148,Bangladesh,,285417148,378,৳ 378,//www.daraz.com.bd/products/-i285417148-s1282222067.html?search=1,null,0,7,700508265735,Levin Mall,285417148_BD,1282222067,nt_product
Women's Classic Mid Length Long Sleeve Open Front Cardigan Sweater Shrug For Ladies From Levin,45244,Levin,https://static-01.daraz.com.bd/p/1af63cfcf27e4d08a6a841fc1f667798.png,True,0,280991091,Bangladesh,,280991091,360,৳ 360,//www.daraz.com.bd/products/-i280991091-s1268336643.html?search=1,null,0,22,700508265735,Levin Mall,280991091_BD,1268336643,nt_product
Women's Knitted Long Sleeve V Neck Sweater Pullover Tops Jumpers For  Ladies From Levin,45244,Levin,https://static-01.daraz.com.bd/p/a46009f9b6945f8c0934ac157022be45.jpg,True,0,286163735,Bangladesh,,286163735,328,৳ 328,//www.daraz.com.bd/products/-i286163735-s1284187053.html?search=1,null,0,8,700508265735,Levin Mall,286163735_BD,1284187053,nt_product
Women's Lightweight Long Sleeve Open Front Long Cardigan Shrug From Levin,45244,Levin,https://static-01.daraz.com.bd/p/3fa67eebbb9864d98685e0a571b7226e.jpg,True,0,289286358,Bangladesh,,289286358,490,৳ 490,//www.daraz.com.bd/products/-i289286358-s1291701933.html?search=1,null,0,3,700508265735,Levin Mall,289286358_BD,1291701933,nt_product
Ladies Long Sleeve V Neck Front Pocket Rib Sweater Jumper,45244,Levin,https://static-01.daraz.com.bd/p/6c261ea5f06f8cce67c426d422de2581.jpg,True,0,214126421,Bangladesh,,214126421,395,৳ 395,//www.daraz.com.bd/products/-i214126421-s1163207624.html?search=1,null,0,12,700508265735,Levin Mall,214126421_BD,1163207624,nt_product
Women Side Slit Long Sleeve Mock Neck Knitted Long Sweater Dress From Levin,45244,Levin,https://static-01.daraz.com.bd/p/e299af202bf41377cbeba8df7529ceaa.jpg,True,0,287409220,Bangladesh,,287409220,549,৳ 549,//www.daraz.com.bd/products/-i287409220-s1287023013.html?search=1,null,0,3,700508265735,Levin Mall,287409220_BD,1287023013,nt_product
Women's Lightweight Long Sleeve Open Front Pocket Long Cardigan Shrug From Levin,45244,Levin,https://static-01.daraz.com.bd/p/f7130be81e62296ad0764e909b665095.jpg,True,0,289872121,Bangladesh,,289872121,577,৳ 577,//www.daraz.com.bd/products/-i289872121-s1293000958.html?search=1,null,0,0,700508265735,Levin Mall,289872121_BD,1293000958,nt_product
Warm And Weightless High Neck Sweater For Women,193654,Fashion Park,https://static-01.daraz.com.bd/p/c40c2d240080f6f3461eee4b58e4df41.jpg,True,0,286611606,Bangladesh,,286611606,240.00,৳ 240,//www.daraz.com.bd/products/-i286611606-s1284873270.html?search=1,null,0,12,2002,Fashion Park,286611606_BD,1284873270,nt_product
Warm And Weightless High Neck Sweater For Women,193654,Fashion Park,https://static-01.daraz.com.bd/p/b530e94179d137e5a62d912e8718545a.jpg,True,0,286486135,Bangladesh,,286486135,170,৳ 170,//www.daraz.com.bd/products/-i286486135-s1284696877.html?search=1,null,0,6,2002,Fashion Park,286486135_BD,1284696877,nt_product
Warm And Weightless High Neck Sweater For Women,193654,Fashion Park,https://static-01.daraz.com.bd/p/cf6d48223d881615d35c76a85412832c.jpg,True,0,286609555,Bangladesh,,286609555,190,৳ 190,//www.daraz.com.bd/products/-i286609555-s1284867719.html?search=1,null,0,2,2002,Fashion Park,286609555_BD,1284867719,nt_product
Ielgy Casual All-Match Trendy Knitted Jacket  for Women,123818419,IELGY,https://static-01.daraz.com.bd/p/529cdef3ab706f9c3bacafad2912a228.jpg,True,0,184827239,China,,184827239,1670.00,"৳ 1,670",//www.daraz.com.bd/products/ielgy-i184827239-s1130063564.html?search=1,null,0,14,700508496307,IELGY,184827239_BD,1130063564,nt_product
IELGY Coats Casual Knitted Sweater for Women,123818419,IELGY,https://static-01.daraz.com.bd/p/feb559b08937c6e591f8b7d16b480060.jpg,True,0,184826274,China,,184826274,1670.00,"৳ 1,670",//www.daraz.com.bd/products/ielgy-coats-casual-knitted-womens-sweaters-i184826274-s1130055797.html?search=1,null,0,13,700508496307,IELGY,184826274_BD,1130055797,nt_product
IELGY Solid color plus velvet bottoming shirt high collar pullover sweater women,123818419,IELGY,https://static-01.daraz.com.bd/p/e235c8b6aee0572fe9960c851fd511a1.jpg,True,0,184813305,China,,184813305,780.00,৳ 780,//www.daraz.com.bd/products/ielgy-i184813305-s1130012976.html?search=1,null,0,15,700508496307,IELGY,184813305_BD,1130012976,nt_product
IELGY Knitted Sweater Women's clothes Outer wear Pullover Korean version Red Christmas Fashion Warm,123818419,IELGY,https://static-01.daraz.com.bd/p/bb4450e881cec1db025f6901ea794639.jpg,True,0,184824291,China,,184824291,1850.00,"৳ 1,850",//www.daraz.com.bd/products/ielgy-i184824291-s1130060687.html?search=1,null,0,1,700508496307,IELGY,184824291_BD,1130060687,nt_product
Women's knitwear IELGY One-neck Short Autumn White Solid color Long sleeves Commuting Fashion,123818419,IELGY,https://static-01.daraz.com.bd/p/5395f8310086a672adf0d4d5d2d716a4.jpg,True,0,184828270,China,,184828270,1020.00,"৳ 1,020",//www.daraz.com.bd/products/ielgy-i184828270-s1130069439.html?search=1,null,0,2,700508496307,IELGY,184828270_BD,1130069439,nt_product
IELGY Japanese Black Jacket Women's clothes Loose Fashion Hong Kong style Outside wear Knitted Sweater,123818419,IELGY,https://static-01.daraz.com.bd/p/a032a3a004f296b71e8cb9ad6f338d72.jpg,True,0,184835005,China,,184835005,1360.00,"৳ 1,360",//www.daraz.com.bd/products/ielgy-i184835005-s1130059849.html?search=1,null,0,2,700508496307,IELGY,184835005_BD,1130059849,nt_product
IELGY long sleeve knitted sweater thin cardigan jacket women,123818419,IELGY,https://static-01.daraz.com.bd/p/5cf93151aca8ed15ca00f10882ea3477.jpg,True,0,184819161,China,,184819161,1060.00,"৳ 1,060",//www.daraz.com.bd/products/ielgy-i184819161-s1130029903.html?search=1,null,0,5,700508496307,IELGY,184819161_BD,1130029903,nt_product
Stand Collar Cardigan Sweater Decorative Pockets Sunnyheart Women Faux Pearl Buttons Solid Color Knitted Coat Outerwear,124465260,Sunnyheart,https://static-01.daraz.com.bd/p/67ff81dba5fa8ea4c3cc34675f563d2c.jpg,True,0,209181629,China,,209181629,1508.00,"৳ 1,508",//www.daraz.com.bd/products/-i209181629-s1159409458.html?search=1,null,0,1,700508628148,Sunnyheart,209181629_BD,1159409458,nt_product
IELGY Women's clothes Korean version casual all-match loose fashion stripes long sleeves base color matching,123818419,IELGY,https://static-01.daraz.com.bd/p/2ddafa21abb2f1c713437d9812530de9.jpg,True,0,184823347,China,,184823347,1520.00,"৳ 1,520",//www.daraz.com.bd/products/ielgy-i184823347-s1130067481.html?search=1,null,0,2,700508496307,IELGY,184823347_BD,1130067481,nt_product
Long Sleeve Ribbed Black Turtleneck,124042640,Gorur Ghash,https://static-01.daraz.com.bd/p/fa741ff79deb3c56949516246e015a41.jpg,True,0,214698030,Bangladesh,,214698030,1200.00,"৳ 1,200",//www.daraz.com.bd/products/long-sleeve-ribbed-black-turtleneck-i214698030-s1163490164.html?search=1,null,0,1,700509285089,Gorur Ghash,214698030_BD,1163490164,nt_product
IELGY Knitted Retro Pullovers Outer wear Sweaters Women's clothes Tops Loose Long sleeves Korean style,123818419,IELGY,https://static-01.daraz.com.bd/p/a351611bd452f40ddaaf9292e240bf37.jpg,True,0,184822362,China,,184822362,1830.00,"৳ 1,830",//www.daraz.com.bd/products/ielgy-i184822362-s1130057718.html?search=1,null,0,1,700508496307,IELGY,184822362_BD,1130057718,nt_product
IELGY Top Women's clothes Knitted Coat Loose Short Plush Outer wear White V-neck,123818419,IELGY,https://static-01.daraz.com.bd/p/7f21141eb9fa1c44fe9bd510df5f8dba.jpg,True,0,184821424,China,,184821424,1680.00,"৳ 1,680",//www.daraz.com.bd/products/ielgy-i184821424-s1130056901.html?search=1,null,0,1,700508496307,IELGY,184821424_BD,1130056901,nt_product
IELGY Women's clothes long sleeve simple casual cardigan fashion jacket V-neck versatile short,123818419,IELGY,https://static-01.daraz.com.bd/p/6aa16e9f022297d1720a027be5aa99e5.jpg,True,0,184837024,China,,184837024,1230.00,"৳ 1,230",//www.daraz.com.bd/products/ielgy-i184837024-s1130065461.html?search=1,null,0,3,700508496307,IELGY,184837024_BD,1130065461,nt_product
IELGY Loose Autumn Commuting Knitting Pullover Long sleeves Stripes Contrast Women's sweater,39704,No Brand,https://static-01.daraz.com.bd/p/874c7ccd40d34597832c6049f004a3e7.jpg,True,0,184833140,China,,184833140,1370.00,"৳ 1,370",//www.daraz.com.bd/products/ielgy-i184833140-s1130061667.html?search=1,null,0,1,700508496307,IELGY,184833140_BD,1130061667,nt_product
IELGY Long sleeves Knitting Self-cultivation Autumn Solid color Base Women's sweater Inner wear Fake two-piece,123818419,IELGY,https://static-01.daraz.com.bd/p/30cb37d7fa77db18a1d7c258f871e19b.jpg,True,0,184828286,China,,184828286,1330.00,"৳ 1,330",//www.daraz.com.bd/products/ielgy-i184828286-s1130069504.html?search=1,null,0,1,700508496307,IELGY,184828286_BD,1130069504,nt_product
