productId,name,slug,manufacturer,productType,mrpDecimal,salePriceDecimal,discountDecimal,discountPercent,categoryId,damImages,labelDetails,ratingDetails,listingId,productTierAttributes,productSubstitutionAttributes,productAvailabilityFlags,maxQuantity,productVolume,similarProductsAttributes,isAvailable,images
12836,Himalaya Liv.52 Ds Tablets - 60's,himalaya-liv-52-ds-tablets---60-s-12836,HIMALAYA,2,190.00,182.40,7.60,4,,"[{'url': 'https://cdn01.pharmeasy.in/dam/products_otc/105900/himalaya-liv52-ds-tablets-60s-2-1671741075.jpg', 'face': 'front', 'sequence': '2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/105900/himalaya-liv52-ds-tablets-60s-3-1671741075.jpg', 'face': 'combo', 'sequence': '3'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/105900/himalaya-liv52-ds-tablets-60s-6.1-1671741075.jpg', 'face': 'side', 'sequence': '6.1'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/105900/himalaya-liv52-ds-tablets-60s-6.2-1671741075.jpg', 'face': 'side', 'sequence': '6.2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/105900/himalaya-liv52-ds-tablets-60s-7-1671741075.jpg', 'face': 'back', 'sequence': '7'}]",,"{'value': 4.4809619238477, 'count': 998}",2632621,"{'type': 5, 'text': 'Guaranteed Delivery'}",,"{'isAvailable': True, 'showVariantsInBottomSheet': True, 'notifyMe': False}",20,0,,True,['https://cdn01.pharmeasy.in/dam/products_otc/105900/himalaya-liv52-ds-tablets-60s-2-1671741075.jpg?dim=300x0&f=jpg&dpr=3&q=60']
12839,Himalaya Liv.52 Tablets - 100's,himalaya-liv-52-tablets---100-s-12839,HIMALAYA,2,150.00,142.50,7.50,5,,"[{'url': 'https://cdn01.pharmeasy.in/dam/products_otc/105920/himalaya-liv52-tablets-100s-2-1671740901.jpg', 'face': 'front', 'sequence': '2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/105920/himalaya-liv52-tablets-100s-3-1671740899.jpg', 'face': 'combo', 'sequence': '3'}]",,"{'value': 4.5101694915254, 'count': 590}",2646600,"{'type': 5, 'text': 'Guaranteed Delivery'}",,"{'isAvailable': True, 'showVariantsInBottomSheet': True, 'notifyMe': False}",20,0,,True,['https://cdn01.pharmeasy.in/dam/products_otc/105920/himalaya-liv52-tablets-100s-2-1671740901.jpg?dim=300x0&f=jpg&dpr=3&q=60']
48383,Himalaya Gasex Tablets - 100's,himalaya-gasex-tablets---100-s-48383,HIMALAYA,2,160.00,150.40,9.60,6,,"[{'url': 'https://cdn01.pharmeasy.in/dam/products_otc/082015/himalaya-gasex-tablets-100s-2-1671741707.jpg', 'face': 'front', 'sequence': '2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/082015/himalaya-gasex-tablets-100s-6.1-1671741707.jpg', 'face': 'side', 'sequence': '6.1'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/082015/himalaya-gasex-tablets-100s-6.2-1671741707.jpg', 'face': 'side', 'sequence': '6.2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/082015/himalaya-gasex-tablets-100s-7-1671741707.jpg', 'face': 'back', 'sequence': '7'}]",,"{'value': 4.2924281984334, 'count': 383}",2642191,"{'type': 5, 'text': 'Guaranteed Delivery'}",,"{'isAvailable': True, 'showVariantsInBottomSheet': True, 'notifyMe': False}",20,0,,True,['https://cdn01.pharmeasy.in/dam/products_otc/082015/himalaya-gasex-tablets-100s-2-1671741707.jpg?dim=300x0&f=jpg&dpr=3&q=60']
175663,Himalaya Ashvagandha Immunity Booster Tablets Bottle Of 60,himalaya-ashvagandha-immunity-booster-capsules-bottle-of-60-175663,HIMALAYA,2,200.00,174.00,26.00,13,,"[{'url': 'https://cdn01.pharmeasy.in/dam/products_otc/192968/himalaya-ashvagandha-immunity-booster-tablets-bottle-of-60-2-1674540552.jpg', 'face': 'front', 'sequence': '2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/192968/himalaya-ashvagandha-immunity-booster-tablets-bottle-of-60-6.1-1674540492.jpg', 'face': 'side', 'sequence': '6.1'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/192968/himalaya-ashvagandha-immunity-booster-tablets-bottle-of-60-6.2-1674540503.jpg', 'face': 'side', 'sequence': '6.2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/192968/himalaya-ashvagandha-immunity-booster-tablets-bottle-of-60-6.3-1674540527.jpg', 'face': 'side', 'sequence': '6.3'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/192968/himalaya-ashvagandha-immunity-booster-tablets-bottle-of-60-6.4-1674540593.jpg', 'face': 'side', 'sequence': '6.4'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/192968/himalaya-ashvagandha-immunity-booster-tablets-bottle-of-60-7-1674540534.jpg', 'face': 'back', 'sequence': '7'}]",,"{'value': 4.3385826771654, 'count': 127}",2632270,"{'type': 5, 'text': 'Guaranteed Delivery'}",,"{'isAvailable': True, 'showVariantsInBottomSheet': True, 'notifyMe': False}",20,0,,True,['https://cdn01.pharmeasy.in/dam/products_otc/192968/himalaya-ashvagandha-immunity-booster-tablets-bottle-of-60-2-1674540552.jpg?dim=300x0&f=jpg&dpr=3&q=60']
12906,Himalaya Septilin Tablets - 60's,himalaya-septilin-tablets---60-s-12906,HIMALAYA,2,180.00,172.80,7.20,4,,"[{'url': 'https://cdn01.pharmeasy.in/dam/products_otc/158085/himalaya-septilin-tablets-60s-2-1671741075.jpg', 'face': 'front', 'sequence': '2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/158085/himalaya-septilin-tablets-60s-3-1671741075.jpg', 'face': 'combo', 'sequence': '3'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/158085/himalaya-septilin-tablets-60s-6.1-1671741075.jpg', 'face': 'side', 'sequence': '6.1'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/158085/himalaya-septilin-tablets-60s-7-1671741076.jpg', 'face': 'back', 'sequence': '7'}]",,"{'value': 4.6323529411765, 'count': 272}",2633647,"{'type': 5, 'text': 'Guaranteed Delivery'}",,"{'isAvailable': True, 'showVariantsInBottomSheet': True, 'notifyMe': False}",20,0,,True,['https://cdn01.pharmeasy.in/dam/products_otc/158085/himalaya-septilin-tablets-60s-2-1671741075.jpg?dim=300x0&f=jpg&dpr=3&q=60']
12904,Himalaya Septilin Syrup - 200ml,himalaya-septilin-syrup---200ml-12904,HIMALAYA,2,160.00,153.60,6.40,4,,"[{'url': 'https://cdn01.pharmeasy.in/dam/products_otc/158080/himalaya-septilin-syrup-200ml-2-1671741067.jpg', 'face': 'front', 'sequence': '2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/158080/himalaya-septilin-syrup-200ml-3-1671741065.jpg', 'face': 'combo', 'sequence': '3'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/158080/himalaya-septilin-syrup-200ml-6-1671741070.jpg', 'face': 'side', 'sequence': '6'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/158080/himalaya-septilin-syrup-200ml-6.1-1671741063.jpg', 'face': 'side', 'sequence': '6.1'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/158080/himalaya-septilin-syrup-200ml-7-1671741069.jpg', 'face': 'back', 'sequence': '7'}]",,"{'value': 4.5433070866142, 'count': 127}",2631264,"{'type': 5, 'text': 'Guaranteed Delivery'}",,"{'isAvailable': True, 'showVariantsInBottomSheet': True, 'notifyMe': False}",20,0,,True,['https://cdn01.pharmeasy.in/dam/products_otc/158080/himalaya-septilin-syrup-200ml-2-1671741067.jpg?dim=300x0&f=jpg&dpr=3&q=60']
42564,Himalaya Cystone Tablets - 60's,himalaya-cystone-tablets---60-s-42564,HIMALAYA,2,165.00,156.75,8.25,5,,"[{'url': 'https://cdn01.pharmeasy.in/dam/products_otc/050650/himalaya-cystone-tablets-60s-2-1671741386.jpg', 'face': 'front', 'sequence': '2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/050650/himalaya-cystone-tablets-60s-2-1671741387.jpg', 'face': 'front', 'sequence': '2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/050650/himalaya-cystone-tablets-60s-3-1671741387.jpg', 'face': 'combo', 'sequence': '3'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/050650/himalaya-cystone-tablets-60s-6-1671741385.jpg', 'face': 'side', 'sequence': '6'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/050650/himalaya-cystone-tablets-60s-6-1671741387.jpg', 'face': 'side', 'sequence': '6'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/050650/himalaya-cystone-tablets-60s-7-1671741383.jpg', 'face': 'back', 'sequence': '7'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/050650/himalaya-cystone-tablets-60s-7-1671741383.jpg', 'face': 'back', 'sequence': '7'}]",,"{'value': 4.508875739645, 'count': 169}",2630742,"{'type': 5, 'text': 'Guaranteed Delivery'}",,"{'isAvailable': True, 'showVariantsInBottomSheet': True, 'notifyMe': False}",20,0,,True,['https://cdn01.pharmeasy.in/dam/products_otc/050650/himalaya-cystone-tablets-60s-2-1671741386.jpg?dim=300x0&f=jpg&dpr=3&q=60']
172067,Dabur Honitus  Cough Syrup  Bottle Of 100 Ml,dabur-honitus-cough-syrup-bottle-of-100-ml-172067,DABUR,2,118.00,118.00,,0,,"[{'url': 'https://cdn01.pharmeasy.in/dam/products_otc/I05449/dabur-honitus-cough-syrup-bottle-of-100-ml-1-1669634873.jpg', 'face': 'box-front', 'sequence': '1'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/I05449/dabur-honitus-cough-syrup-bottle-of-100-ml-2-1669634882.jpg', 'face': 'front', 'sequence': '2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/I05449/dabur-honitus-cough-syrup-bottle-of-100-ml-3-1669634892.jpg', 'face': 'combo', 'sequence': '3'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/I05449/dabur-honitus-cough-syrup-bottle-of-100-ml-4-1669634884.jpg', 'face': 'box-back', 'sequence': '4'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/I05449/dabur-honitus-cough-syrup-bottle-of-100-ml-6.1-1669634876.jpg', 'face': 'side', 'sequence': '6.1'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/I05449/dabur-honitus-cough-syrup-bottle-of-100-ml-6.2-1669634887.jpg', 'face': 'side', 'sequence': '6.2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/I05449/dabur-honitus-cough-syrup-bottle-of-100-ml-6.3-1669634879.jpg', 'face': 'side', 'sequence': '6.3'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/I05449/dabur-honitus-cough-syrup-bottle-of-100-ml-6.4-1669634890.jpg', 'face': 'side', 'sequence': '6.4'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/I05449/dabur-honitus-cough-syrup-bottle-of-100-ml-6.5-1669634870.jpg', 'face': 'side', 'sequence': '6.5'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/I05449/dabur-honitus-cough-syrup-bottle-of-100-ml-7-1669634867.jpg', 'face': 'back', 'sequence': '7'}]",,"{'value': 4.3814432989691, 'count': 97}",2657204,"{'type': 5, 'text': 'Guaranteed Delivery'}",,"{'isAvailable': True, 'showVariantsInBottomSheet': True, 'notifyMe': False}",20,0,,True,['https://cdn01.pharmeasy.in/dam/products_otc/I05449/dabur-honitus-cough-syrup-bottle-of-100-ml-1-1669634873.jpg?dim=300x0&f=jpg&dpr=3&q=60']
12837,Himalaya Liv.52 Syrup - 200ml,himalaya-liv-52-syrup---200ml-12837,HIMALAYA,2,170.00,163.20,6.80,4,,"[{'url': 'https://cdn01.pharmeasy.in/dam/products_otc/105910/himalaya-liv52-syrup-200ml-2-1671741072.jpg', 'face': 'front', 'sequence': '2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/105910/himalaya-liv52-syrup-200ml-2-1671741070.jpg', 'face': 'front', 'sequence': '2'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/105910/himalaya-liv52-syrup-200ml-3-1671741073.jpg', 'face': 'combo', 'sequence': '3'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/105910/himalaya-liv52-syrup-200ml-6-1671741067.jpg', 'face': 'side', 'sequence': '6'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/105910/himalaya-liv52-syrup-200ml-6-1671741071.jpg', 'face': 'side', 'sequence': '6'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/105910/himalaya-liv52-syrup-200ml-6.1-1671741068.jpg', 'face': 'side', 'sequence': '6.1'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/105910/himalaya-liv52-syrup-200ml-7-1671741074.jpg', 'face': 'back', 'sequence': '7'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/105910/himalaya-liv52-syrup-200ml-7-1671741065.jpg', 'face': 'back', 'sequence': '7'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/105910/himalaya-liv52-syrup-200ml-1597359901346-1671741074.jpg', 'face': 'UNKNOWN', 'sequence': '1597359901346'}]",,"{'value': 4.4320987654321, 'count': 405}",2643282,"{'type': 5, 'text': 'Guaranteed Delivery'}",,"{'isAvailable': True, 'showVariantsInBottomSheet': True, 'notifyMe': False}",20,0,,True,['https://cdn01.pharmeasy.in/dam/products_otc/105910/himalaya-liv52-syrup-200ml-2-1671741072.jpg?dim=300x0&f=jpg&dpr=3&q=60']
172605,Himalaya Koflet Syrup - 100ml,himalaya-koflet-syrup---100ml-172605,HIMALAYA,2,100.00,99.00,1.00,1,,"[{'url': 'https://cdn01.pharmeasy.in/dam/products_otc/100345/himalaya-koflet-syrup-100ml-1-1669635075.jpg', 'face': 'box-front', 'sequence': '1'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/100345/himalaya-koflet-syrup-100ml-3-1669635080.jpg', 'face': 'combo', 'sequence': '3'}, {'url': 'https://cdn01.pharmeasy.in/dam/products_otc/100345/himalaya-koflet-syrup-100ml-7-1669635077.jpg', 'face': 'back', 'sequence': '7'}]",,"{'value': 4.2771084337349, 'count': 83}",2646900,"{'type': 5, 'text': 'Guaranteed Delivery'}",,"{'isAvailable': True, 'showVariantsInBottomSheet': True, 'notifyMe': False}",20,0,,True,['https://cdn01.pharmeasy.in/dam/products_otc/100345/himalaya-koflet-syrup-100ml-1-1669635075.jpg?dim=300x0&f=jpg&dpr=3&q=60']
